C:\..\>python dcgan.py
Success, tests passed!
Epoch [0/30] Batch 0/594                   Loss D: 0.6914, loss G: 0.7053
Epoch [1/30] Batch 0/594                   Loss D: 0.1413, loss G: 3.5953
Epoch [2/30] Batch 0/594                   Loss D: 0.2295, loss G: 1.9782
Epoch [3/30] Batch 0/594                   Loss D: 0.1840, loss G: 2.0716
Epoch [4/30] Batch 0/594                   Loss D: 0.1881, loss G: 3.1633
Epoch [5/30] Batch 0/594                   Loss D: 0.1694, loss G: 2.3724
Epoch [6/30] Batch 0/594                   Loss D: 0.2309, loss G: 2.8649
Epoch [7/30] Batch 0/594                   Loss D: 0.1307, loss G: 3.1263
Epoch [8/30] Batch 0/594                   Loss D: 0.2013, loss G: 2.8727
Epoch [9/30] Batch 0/594                   Loss D: 0.0787, loss G: 3.6258
Epoch [10/30] Batch 0/594                   Loss D: 0.4482, loss G: 4.1211
Epoch [11/30] Batch 0/594                   Loss D: 0.1915, loss G: 4.9368
Epoch [12/30] Batch 0/594                   Loss D: 0.2306, loss G: 3.2975
Epoch [13/30] Batch 0/594                   Loss D: 0.1691, loss G: 3.6806
Epoch [14/30] Batch 0/594                   Loss D: 0.4006, loss G: 4.5441
Epoch [15/30] Batch 0/594                   Loss D: 0.2755, loss G: 3.4703
Epoch [16/30] Batch 0/594                   Loss D: 0.3742, loss G: 4.4693
Epoch [17/30] Batch 0/594                   Loss D: 0.1191, loss G: 2.7670
Epoch [18/30] Batch 0/594                   Loss D: 0.1575, loss G: 3.5488
Epoch [19/30] Batch 0/594                   Loss D: 0.1542, loss G: 3.2470
Epoch [20/30] Batch 0/594                   Loss D: 0.3319, loss G: 2.7732
Epoch [21/30] Batch 0/594                   Loss D: 0.2640, loss G: 2.6746
Epoch [22/30] Batch 0/594                   Loss D: 0.1403, loss G: 3.0532
Epoch [23/30] Batch 0/594                   Loss D: 0.2180, loss G: 2.8827
Epoch [24/30] Batch 0/594                   Loss D: 0.1855, loss G: 2.8852
Epoch [25/30] Batch 0/594                   Loss D: 0.2481, loss G: 2.9119
Epoch [26/30] Batch 0/594                   Loss D: 0.1954, loss G: 2.7948
Epoch [27/30] Batch 0/594                   Loss D: 0.2174, loss G: 3.3776
Epoch [28/30] Batch 0/594                   Loss D: 0.1241, loss G: 3.2391
Epoch [29/30] Batch 0/594                   Loss D: 0.2798, loss G: 3.2685
